PC® or free from® naturally smoked bacon	5.49	ea	Meat
pork loin rack	4.99	lb	Meat
fresh Grade A turkey	1.99	lb	Meat
striploin portions or grilling steak	6.99	lb	Meat
chicken drumsticks	5.0	lb	Meat
lean ground beef	3.99	lb	Meat
Lilydale oven roasted turkey breast strips or slices or chicken breast strips	9.99	ea	Meat
PC® Blue Menu® turkey breasts	5.99	lb	Meat
PC® free from® chicken breast	5.99	lb	Meat
PC® flavoured naturally smoked bacon	5.99	ea	Meat
stewing beef	8.49	lb	Meat
striploin grilling steak	12.99	lb	Meat
PC® old fashion style bacon	10.99	ea	Meat
chicken legs	1.99	lb	Meat
pork side ribs	3.99	lb	Meat
cured boneless pork loin	2.99	lb	Meat
sirloin tip oven roast	7.99	lb	Meat
Johnsonville breakfast or dinner sausage or ground sausage meat	3.99	ea	Meat
lean ground veal or PC® boneless lamb leg	5.99	lb	Meat
raspberries	3.0	ea	Produce
extra large greenhouse red, orange or yellow sweet peppers	3.49	lb	Produce
PC® Organics Romaine hearts	4.99	ea	Produce
large Navel oranges	1.79	lb	Produce
large Canary melons	4.99	ea	Produce
green kiwi	4.99	ea	Produce
mini watermelon	3.99	ea	Produce
PC® Melorange®	3.49	ea	Produce
PC® Little Gems™ mini potatoes	3.5	ea	Produce
greenhouse red tomatoes on the vine	1.99	ea	Produce
extra large Santa Claus melon	5.99	ea	Produce
jumbo cantaloupe	3.99	ea	Produce
red or green seedless grapes	1.99	lb	Produce
clementines	5.99	ea	Produce
Farmers Market™ English cucumbers	3.77	ea	Produce
cooking onions	1.5	ea	Produce
PC® Organics Granny Smith or Red Delicious apples	2.88	lb	Produce
leeks bunch	3.79	ea	Produce
