grain fed veal loin or rib chops	9.99	lb	Meat
Maple Lodge chicken bologna or chicken wieners	1.99	ea	Meat
PC® lamb loin chops	11.99	lb	Meat
lean ground pork	3.99	lb	Meat
pork tenderloin or back ribs	3.99	lb	Meat
striploin grilling steak	10.99	lb	Meat
extra lean ground beef	6.49	lb	Meat
Maple Leaf Prime chicken breasts	6.99	lb	Meat
chicken drumsticks or thighs	2.99	lb	Meat
marinated pork tenderloin	4.49	lb	Meat
Schneiders bologna	5.49	ea	Meat
Johnsonville breakfast or dinner sausage, ground sausage meat or smoked sausage	3.5	ea	Meat
beef short ribs	7.99	lb	Meat
Smithfield hickory smoked bacon	3.99	ea	Meat
top sirloin grilling steak or premium oven roast	6.88	lb	Meat
PC® Street Dogs™ or all beef franks	5.99	ea	Meat
pork loin centre cut chops	4.99	lb	Meat
fresh in-store made burgers or pork sausage, breakfast or dinner	5.99	lb	Meat
chicken legs	1.99	lb	Meat
mini watermelons	3.99	ea	Produce
extra large pineapple	3.99	ea	Produce
Vidalia onions	3.99	ea	Produce
broccoli crowns	2.49	lb	Produce
Taylor Gold pears	2.49	lb	Produce
large tree ripe peaches	3.99	lb	Produce
greenhouse beefsteak tomatoes	1.49	lb	Produce
Jazz apples	2.49	lb	Produce
Royal Gala apples	2.49	lb	Produce
green kale	2.99	ea	Produce
Envy or Smitten apples	2.49	lb	Produce
PC® coleslaw	2.5	ea	Produce
gold kiwi	4.99	ea	Produce
large white flesh peaches	3.99	lb	Produce
Dole salad mix	3.99	ea	Produce
raspberries	1.67	ea	Produce
Divine apples	2.49	lb	Produce
fruit tri-pack	7.99	ea	Produce
large green kiwi	0.8	ea	Produce
grape tomatoes	4.99	ea	Produce
PC® Organics blueberries	4.99	ea	Produce
PC® vegetable medley, stir fry mix or broccoli florets	2.5	ea	Produce
cooking spinach	2.0	ea	Produce
Eve apples	2.49	lb	Produce
PC® Ambrosia apples	2.49	lb	Produce
Romaine, red or green leaf lettuce	2.99	ea	Produce
PC® Little Gems™ mini potatoes	3.99	ea	Produce
PC® Organics carrots	2.99	ea	Produce
large Honey Kiss melon	4.99	ea	Produce
Eat Smart salad kit	4.49	ea	Produce
