boneless centre cut roast or chops	5.99 lb / 13.21/kg		Meat
From Our Chefs Quinoa Turkey Meatballs	4.49	298 g	Meat
pork tenderloin	4.99 lb / 11.00/kg		Meat
striploin grilling steak	9.99 lb / 22.02/kg		Meat
In-store Made Mild Italian Sausage	5.99 lb / 13.21/kg		Meat
eye of round oven roast or marinating steak	7.99 lb / 17.61/kg		Meat
extra lean ground beef	6.49 lb / 14.31/kg		Meat
Johnsonville breakfast, dinner or smoked sausage or ground sausage meat	3.99	500 g	Meat
Striploin Grilling Steak	12.99 lb / 28.64/kg		Meat
PC® naturally smoked flavoured bacon or bacon rounds	5.99	500 g	Meat
Maple Leaf Prime chicken breasts	6.99 lb / 15.41/kg		Meat
PC® or Blue Menu® beef burgers	7.99	568 g	Meat
PC® Free From® whole chicken	3.49 lb / 7.69/kg		Meat
PC® Free From® chicken drumsticks or thighs	2.99 lb / 6.59/kg		Meat
PC® Frenched rack of lamb	14 .99 lb / 33.05/kg		Meat
From Our Chefs stuffed pork chops	8	400 g	Meat
Piller's or Simply Free smoked sausage	6.99	600 g	Meat
radishes	99 ¢		Produce
15 lb average extra large whole seedless watermelon	2.99 each		Produce
2 lb strawberries	6.99		Produce
Artisan Romaine lettuce	2.99 each		Produce
Driscoll’s raspberries	2/6 or 3 ea.		Produce
hothouse Boston lettuce dome	2/5 or 2.50 ea.		Produce
large white cauliflower	2/5 or 2.50 ea.		Produce
2 lb grape tomatoes	4.99		Produce
pkg of 6 Romaine hearts	5.99		Produce
3 lb BAG Farmer’s Market™ carrots or cooking onions	2/5 or 2.50 ea.		Produce
radicchio	2.99 lb / 6.59/kg		Produce
1kg BAG large green kiwi	4.99		Produce
frisee lettuce	2.49 each		Produce
3 lb BAG Farmer's Market™ Navel oranges	3.99		Produce
Eat Smart sweet kale salad	7.99	793 g	Produce
gourmet duo lettuce	2.49 each		Produce
pkg of 3 Farmer's Market™ English cucumbers	3		Produce
6 lb BAG no name Naturally Imperfect™ apples	5.49		Produce
10 lb BAG Farmer's Market™ red or yellow potatoes	4.99		Produce
Farmer's Market peaches	2.99		Produce
