chicken breasts or thighs	3.99 lb / 8.80/kg		Meat
Berkshire bone-in centre cut pork chop or roast	9.99 lb / 22.02/kg		Meat
top sirloin grilling steak beefeater	12.99 lb / 28.64/kg		Meat
lean ground pork	3.99 ea. / lb / 8.80/kg	200 g	Meat
PC® Free From® split chicken wings	4.99 lb / 11.00/kg		Meat
pork back ribs	5.99 lb / 13.21/kg		Meat
Pinty’s chicken wings or chicken breast chunks	13.99	950 g	Meat
cap-off prime rib grilling steak	9.99 lb / 22.02/kg		Meat
Sasso whole fresh	4.99 lb / 11.00/kg		Meat
Berkshire boneless centre cut pork chop or roast	10.99 lb / 24.23/kg		Meat
From Our Chefs beef steak tips	15	500 g	Meat
PC® Frenched rack of lamb	14.99 lb / 33.05/kg		Meat
PC® Free From® lean ground beef	9.99 lb / 22.02/kg		Meat
Wagyu top sirloin grilling steak or roast	24.99 lb / 55.09/kg		Meat
Marc Angelo Lamb Spiedini	59.99 50 ¢ per skewer		Meat
PC® or Blue Menu® seasoned chicken breast fillets	9.99	907 g	Meat
grain fed veal loin or rib chops	9.99 lb / 22.02/kg		Meat
Also available PC® Free From® chicken breasts or thighs	5.99 lb / 13.21/kg		Meat
Tomahawk beef rib steak	14.99 lb / 33.05/kg		Meat
16 piece chicken wings	10		Meat
fresh in-store made burgers or sausage	4.99 lb / 11.00/kg		Meat
wild boar or elk steak	10.99	224 g	Meat
Nappa or Bok Choy	79 ¢ lb / 1.74/kg		Produce
flat white peaches	4.99		Produce
PC® whole white or cremini mushrooms	2/4 or 2 ea.	227 g	Produce
organic mini cucumbers	3.49		Produce
large honeykiss melon	4.99 each		Produce
sweet corn	33 ¢ each		Produce
Sweet Nantes carrots	2/4 or 2 ea.		Produce
beets	2.99		Produce
Farmer’s Market™ English cucumbers	3.49		Produce
Romaine, red or green leaf lettuce	2/3 or 1.50 ea.		Produce
velvet apricots	4.99 lb / 11.00/kg		Produce
raspberries	2/6 or 3 ea.	170 g	Produce
radishes	1.29		Produce
large whole seedless watermelon	3.77 11 lb avg.		Produce
PC® plumcots	3.99 lb / 8.80/kg		Produce
carrots	2/3 or 1.50 ea.		Produce
yellow plums	4.99		Produce
green onions	3/2 or 67¢ ea.		Produce
celery stalks	1.49 each		Produce
green beans	2.49 lb / 5.49/kg		Produce
beets	2.99		Produce
spinach	1.99		Produce
green cabbage	59 ¢ lb / 1.30/kg		Produce
jumbo cantaloupes	2.99 each		Produce
greenhouse red tomatoes on the vine	1.49 lb / 3.28/kg		Produce
carrots	2/4 or 2 ea.		Produce
large broccoli	1.69 each		Produce
organic red, yellow or orange sweet peppers	3.99 lb / 8.80/kg		Produce
cooking onions	2/4 or 2 ea.		Produce
organic zucchini	2.99		Produce
