Lou's Original double smoked back bacon	5.99	375 g	Meat
PC® old fashion style bacon	9.99		Meat
cap-off prime rib grilling steak	10.99 lb / 24.23/kg		Meat
cap-off prime rib premium oven roast	7.99 lb / 17.61/kg		Meat
Lou's Original peameal bacon chub	7.99	800 g	Meat
grain fed veal loin or rib chops	9.99 lb / 22.02/kg		Meat
chicken drumsticks minimum	5 ea./ lb / 11.02/kg	500 g	Meat
striploin grilling steak	12.99 lb / 28.64/kg		Meat
grain fed veal cutlets	10.99 lb / 24.23/kg		Meat
lean ground beef	5.99 lb / 13.21/kg		Meat
beef stir fry strips	7.99 lb / 17.61/kg		Meat
PC® hickory smoked flat ham or quarter spiral sliced ham	4.49 lb / 9.90/kg		Meat
sirloin tip oven roast	7.99 lb / 17.61/kg		Meat
PC® Free From® pork loin chops	6.99 lb / 15.41/kg		Meat
12 piece chicken tenders	8.99		Meat
boneless beef rib finger meat	4.99 lb / 11.00/kg		Meat
boneless blade pot roast	7.99 lb / 17.61/kg		Meat
PC® Easy-Carve™ chicken breast roast	12.99		Meat
lean ground pork	2.99 lb / 6.59/kg		Meat
PC® boneless lamb leg	7.99 lb / 17.61/kg		Meat
PC® Free From® chicken breasts	8.99 lb / 19.82/kg		Meat
pork side ribs	3.99 lb / 8.80/kg		Meat
extra large pineapple	3.99 each		Produce
PC® grape tomatoes	2/6 or 3 ea.	255 g	Produce
large Madame Francis mango	2.99 each		Produce
extra large ripe mangoes	2.99 each		Produce
cherimoya	3.99 each		Produce
yellow or brown Asian pears	1.99 lb / 4.39/kg		Produce
PC® cocktail tomatoes	2/6 or 3 ea.	340 g	Produce
PC® Organics grape tomatoes	3.99	255 g	Produce
granadilla	2/4 or 2 ea.		Produce
bulk Navel oranges	1.29 lb / 2.84/kg		Produce
PC® baby king oyster mushrooms	4.99	200 g	Produce
Bartlett pears	1.99 lb / 4.39/kg		Produce
jumbo pumpkins	4.99 each		Produce
dragonfruit	2.99 each		Produce
large papaya	2.49 lb / 5.49/kg		Produce
mini watermelon	4.99 each		Produce
Royal Gala apples	1.99 lb / 4.39/kg		Produce
4 lb BAG Farmer's Market ™ Paula Red or MacIntosh apples	3.99		Produce
large Ataulfo mango	2/5 or 2.50 ea.		Produce
green onions	3/2 or 67¢ ea.		Produce
Farmer's Market ™ greenhouse peppers	3.99		Produce
PC® cherry tomatoes	2/6 or 3 ea.	255 g	Produce
extra large cantaloupe	3.99 each		Produce
blackberries	2/7 or 3.50 ea.	170 g	Produce
Driscoll's raspberries	2/6 or 3 ea.	170 g	Produce
pie pumpkins	1.29 each		Produce
PC® cocktail duo tomatoes	2/6 or 3 ea.	397 g	Produce
large green kiwi	5/4 or 80¢ ea.		Produce
large Palmer mango	3.99 each		Produce
large Osteen Spanish mango	3.99 each		Produce
sweet potatoes	1.79 lb / 3.95/kg		Produce
red, manzano or mini bananas	1.49 lb / 3.28/kg		Produce
PC® Kumato tomatoes	2/5 or 2.50 ea.		Produce
purple passion fruit	99 ¢ each		Produce
PC® gourmet grape tomato trio	2/6 or 3 ea.	340 g	Produce
assorted gourds	3.99		Produce
ginger	2.49 lb / 5.49/kg		Produce
yellow pitaya dragonfruit	4.99 each		Produce
Prima Gattie peaches	3.99 lb / 8.80/kg		Produce
2 lb BAG PC® mandarins	5.99		Produce
large broccoli	97 ¢ ea./ lb / 2.14/kg		Produce
