split chicken wings	2.99 /lb 6.59/kg		Meat
marinated chicken or beef tournedo	2.99	150 g	Meat
Maple Leaf or Natural Selections bacon	3.88	375 g	Meat
fresh pork, turkey, chicken or lamb sausage	4.99 /lb 11.00/kg		Meat
New Zealand lamb loin chops	7.88 /lb 17.37/kg		Meat
chicken breasts	2.99	lb	Meat
striploin grilling steak	7.88 /lb 17.37/kg		Meat
PC® Free From® chicken drumsticks or thighs	3.99 /lb 8.80/kg		Meat
From Our Chefs chicken or pork souvlaki	6	300 g	Meat
fresh in-store made burgers	4.99 /lb 11.00/kg		Meat
pork sirloin chops	2.99 /lb 6.59/kg		Meat
PC® Free From® chicken thighs	6.99 /lb 15.41/kg		Meat
extra lean ground beef	5.99 /lb 13.21/kg		Meat
PC® Loads Of smoked chicken sausage	8.99	750 g	Meat
PC MD World Of Flavours™ harissa chicken drumsticks	4.49 /lb 9.90/kg		Meat
PC® Organics sweet potatoes	6.99	3 lb	Produce
PC® Tomato of Yore ™	2.99		Produce
Navel oranges	1.49 /lb 3.28/kg		Produce
PC® Organics blueberries	5.99	277 g	Produce
Bartlett pears	2.49 /lb 5.49/kg		Produce
PC® Portobello mushroom caps	4.49		Produce
bean sprouts	1.79	1 lb	Produce
Driscoll's organic strawberries	5.99		Produce
Driscoll’s raspberries	3.99	340 g	Produce
Driscoll’s blackberries	4.99	340 g	Produce
large green kiwi	5/3 or 60¢ ea.		Produce
2 lb Driscoll’s strawberries	5.99		Produce
BAG Farmer's Market™ lemons	4.99	2 lb	Produce
bulk sweet corn	5/1.99 or 40¢ ea.		Produce
extra large cherries	4.77 /lb 10.72/kg		Produce
large ripe mangoes	2/5 or 2.50 ea.		Produce
large whole seedless watermelon	6.99 each	11 lb	Produce
Driscoll's organic raspberries	5.99	170 g	Produce
extra large cantaloupe	3.99 each		Produce
blueberries	4.99	510 g	Produce
yellow peaches	2.99 /lb 6.59/kg		Produce
large white cauliflower	3.99 each	3 lb	Produce
Farmer’s Market™ mini carrots	1.49	340 g	Produce
PC® Little Gems™ mini potatoes	3.49	680 g	Produce
extra large greenhouse red, orange or yellow sweet peppers	2.99 /lb 6.59/kg		Produce
Farmer’s Market™ English cucumbers	3		Produce
PC® vegetable medley, stir fry mix or broccoli florets	2/6 or 3 ea.	340 g	Produce
fiddleheads	4.99	227 g	Produce
green asparagus	3.99 /lb 8.80/kg		Produce
organic English cucumber	3.49 each		Produce
PC® whole white mushrooms	3.99	454 g	Produce
greenhouse red tomatoes on the vine	1.69 /lb 3.73/kg		Produce
BAG Farmer’s Market™ yellow onions	2.49	3 lb	Produce
baking potatoes	2.99		Produce
Mann’s snap or snow peas	3.49	227 g	Produce
