beef short ribs	8.99 lb / 19.82/kg		Meat
marinated chicken or pork souvlaki	2/3 or 1.50 ea.	75 g	Meat
PC® Blue Menu® turkey baconstyle		375 g	Meat
PC® Free From® split chicken wings	4.99 lb / 11.00/kg		Meat
rib and sirloin combo end chops	4.99 lb / 11.00/kg		Meat
Korean style beef short ribs	7.99 lb / 17.61/kg		Meat
grain fed veal rib chops	12.99 lb / 28.64/kg		Meat
fresh in-store made burgers or sausage	5.99 lb / 13.21/kg		Meat
fresh kebabs	3.99	200 g	Meat
Maple Lodge chicken bologna or wieners	1.99	450 g	Meat
Marc Angelo drumsticks sweet BBQ or Piri Piri	5.99	450 g	Meat
cap-off prime rib grilling steak	14.99 lb / 33.05/kg		Meat
PC® lamb loin chops	12.99 lb / 28.64/kg		Meat
PC® Free From® chicken breast	8.99 lb / 19.82/kg		Meat
marinated chicken or beef tournedos	2.99	150 g	Meat
lean ground beef	3.99 lb / 8.80/kg		Meat
From Our Chefs Harissa lamb leg souvlaki	2/5 or 2.50 ea.	75 g	Meat
PC® Organics snack pack carrots	1.99	85 g	Produce
large papaya	1.99 lb / 4.39/kg		Produce
Roma tomatoes	7.99	25 lb	Produce
20lb average jumbo whole seeded watermelon	5.99 each		Produce
extra large ripe mangoes	2.99 each		Produce
large Goldendew melon	4.99 each		Produce
jumbo cantaloupe	2.99 each		Produce
Sugar Kiss melon	3.99 each		Produce
white flesh nectarines	3.49 lb / 7.69/kg		Produce
mini watermelon	3.99 each		Produce
3 lb BAG PC® Organics gala apples	5.99		Produce
large broccoli	99 ¢ ea./ lb / 2.18/kg		Produce
11lb average extra large whole seedless watermelon	4.99 each		Produce
PC® Organics white or cremini mushrooms	2.99	227 g	Produce
PC® Organics grape tomatoes	3.49	255 g	Produce
baby or Shanghai bok choy	1.99 lb / 4.39/kg		Produce
dill cucumbers	7.99	25 lb	Produce
jalapeño peppers	7.99	5 lb	Produce
PC® Organics bananas	99 ¢ lb / 2.18/kg		Produce
eggplant	7.99	11 lb	Produce
PC® mandarins	5.99	2 lb	Produce
red sheppard peppers	7.99	11 lb	Produce
Mann's snow peas	3.49	170 g	Produce
