whole beef tenderloin premium<br>oven roast	10.99 lb / 24.23/kg		Meat
PC® Blue Menu® turkey breast, scaloppine or fillets	9.99 lb / 22.02/kg		Meat
top sirloin premium oven roast	9.99 lb / 22.02/kg		Meat
HOT BUY PC® Frenched rack of lamb	12.99 lb / 28.64/kg		Meat
pork rib roast	4.99 lb / 11.00/kg		Meat
From Our Chefs chicken breast roast	10	600 g	Meat
Schneiders ham	10.99	800 g	Meat
PC® Free Form® chicken breasts or thighs	6.99 lb / 15.41/kg		Meat
PC® Free From® split chicken wings	4.99 lb / 11.00/kg		Meat
PC® Harisa-spiced boneless lamb leg	8.99 lb / 19.82/kg		Meat
From Our Chefs pork sirloin roast	12		Meat
stewing beef	7.99 lb / 17.61/kg		Meat
Piller's, Simply Free or PC® smoked ham	8.99	800 g	Meat
grain fed stewing veal	7.99 lb / 17.61/kg		Meat
Maple Leaf Country Kitchen ham	9.99	800 g	Meat
grain fed veal cutlets	10.99 lb / 24.23/kg		Meat
PC® boneless lamb leg	7.99 lb / 17.61/kg		Meat
From Our Chefs stuffed pork chops	8	400 g	Meat
extra lean ground beef	6.49 lb / 14.31/kg		Meat
PC® ground lamb	7.99 lb / 17.61/kg		Meat
PC® lamb shoulder chops	9.99 lb / 22.02/kg		Meat
whole roasting chicken	2.99 lb / 6.59/kg		Meat
PC® lamb loin chops	11.99 lb / 26.43/kg		Meat
PC® short cut leg of lamb	5.99 lb / 13.21/kg		Meat
Farmer's Market™ carrots or cooking onions	2/5 or 2.50 ea.	3 lb	Produce
Farmer's Market™ carrots or cooking onions	2/5 or 2.50 ea.	3 lb	Produce
2lb BAG Farmer's Market™ mini carrots	3.49		Produce
Dole salad mix	2/7 or 3.50 ea.	142 g	Produce
green kale	2/4 or 2 ea.		Produce
celery hearts	1.99		Produce
garlic	6.99 lb / 15.41/kg		Produce
cranberries	1.77	340 g	Produce
red, green or black seedless grapes	1.77 lb / 3.90/kg		Produce
2lb BAG PC® mandarins	5.99		Produce
green cabbage	59 ¢ lb / 1.30/kg		Produce
extra large greenhouse red, orange or yellow sweet peppers	2.99 lb / 6.59/kg		Produce
2 L BASKET Bartlett pears	4.99		Produce
Driscoll's raspberries	2/6 or 3 ea.	170 g	Produce
3lb Roma tomatoes	3.99		Produce
Farmer's Market™ English cucumbers	3		Produce
Prima Gattie peaches	3.99 lb / 8.80/kg		Produce
PC® whole white mushrooms	3.99	454 g	Produce
mini watermelon	4.99 each		Produce
Romaine hearts	6.99		Produce
2 lb grape tomatoes	4.99		Produce
extra large cantaloupe	3.99 each		Produce
pepper, butternut, buttercup or spaghetti squash	99 ¢ lb / 2.18/kg		Produce
