PC® Free From® breakfast or dinner pork sausage or sausage patties	4.99	ea	Meat
Johnsonville breakfast sausage, sausage rounds or ground sausage meat	3.44	ea	Meat
simmering beef short ribs	7.99	lb	Meat
marinated chicken or beef tournedos	2.99	ea	Meat
turkey wings	2.99	lb	Meat
whole beef tenderloin premium oven roast	10.99	lb	Meat
beef tenderloin grilling steak	19.99	lb	Meat
pork loin rack	4.99	lb	Meat
chicken breasts poitrines de poulet	2.99	lb	Meat
lean ground veal	5.99	lb	Meat
From our Chefs beef sirloin steak tips	15.0	ea	Meat
pork shoulder picnic roast	1.99	lb	Meat
pork side ribs	3.99	lb	Meat
Schneiders chicken sausage, Grill’ems or Juicy Jumbos	3.49	ea	Meat
From our Chefs stuffed pork loin chops	8.0	ea	Meat
PC® Free From® split chicken wings	4.99	lb	Meat
striploin grilling steak	16.99	lb	Meat
extra lean ground beef	6.49	lb	Meat
Maple Leaf Prime chicken or turkey strips	6.99	ea	Meat
Maple Lodge chicken bacon style	3.49	ea	Meat
pork back ribs	5.99	lb	Meat
fresh kebabs	3.49	ea	Meat
grain fed veal cutlets	10.99	lb	Meat
PC® Free From® whole chicken	3.49	lb	Meat
PC® Free From® pork loin chops	6.99	lb	Meat
Spudlers hashbrowns	5.99	ea	Meat
Maple Leaf Protinis	3.99	ea	Meat
red seedless grapes	1.99	lb	Produce
yellow tree ripe peaches or white flesh peaches	3.99	lb	Produce
extra large greenhouse red, orange or yellow sweet peppers	2.99	lb	Produce
Farmer's Market™ English cucumbers	3.99	ea	Produce
bananas	0.79	lb	Produce
organic strawberries	4.99	ea	Produce
large Navel oranges	1.79	lb	Produce
grape tomatoes	4.99	ea	Produce
large fruit	11.99	ea	Produce
colossal cherries	0.0	ea	Produce
Farmer's Market™ mini carrots	3.49	ea	Produce
greenhouse white, Italian or graffiti eggplant	2.99	lb	Produce
jumbo cantaloupe	3.99	ea	Produce
PC® gourmet grape tomato trio or cocktail tomatoes	3.99	ea	Produce
extra large golden ripe pineapple	3.99	ea	Produce
Driscoll's strawberries	3.0	ea	Produce
greenhouse red tomatoes on the vine	1.99	lb	Produce
