PC® free from® lean ground beef	8.99	lb	Meat
From Our Chefs chicken breast roast	10	600 g	Meat
Maple Leaf bacon, Maple Leaf Ready Crisp bacon or fully cooked breakfast sausage or links	2.99	375 g	Meat
organic ground chicken	8.99 lb / 19.82/kg		Meat
pork tenderloin or back ribs	3.44 lb / 7.58/kg		Meat
From Our Chefs stuffed pork chops	8	400 g	Meat
PC® hickory smoked flat ham quarter or spiral sliced ham	4.99 lb / 11.00/kg		Meat
pork loin centre cut chops or roast	4.99 lb / 11.00/kg		Meat
chicken breasts	3.99 lb / 8.80/kg		Meat
Olymel sliced bologna stack	3.79	250 g	Meat
T-bone grilling steak	15.99 lb / 35.25/kg		Meat
Marc Angelo sausage or sausage burgers	3.99	500 g	Meat
organic chicken drumsticks	5.99 lb / 13.21/kg		Meat
eye of round oven roast or marinating steak	7.99 lb / 17.61/kg		Meat
marinated pork tenderloin	3.99 lb / 8.80/kg		Meat
organic boneless, skinless breast	12.99 lb / 28.64/kg		Meat
From Our Chefs pork sirloin roast	12		Meat
organic boneless, skinless thighs	8.99 lb / 19.82/kg		Meat
PC® lamb loin chops	12.99 lb / 28.64/kg		Meat
PC® Free From® whole chicken	2.49 lb / 5.49/kg		Meat
broccoli crowns	1.99 lb / 4.39/kg		Produce
PC® Organics garlic	2.99	115 g	Produce
PC® Organics baby spinach	5.99	312 g	Produce
1 lb organic green kiwi	3.99		Produce
1 lb BAG organic limes	3.49		Produce
5 LB Farmer's Market™ white potatoes	1.99		Produce
vine ripe tomatoes	1.29 lb / 2.84/kg		Produce
organic green or red leaf lettuce or Romaine lettuce	2/4 or 2 ea.		Produce
3 lb BAG Lil Snappers Gala apples	5.99		Produce
2 L PC® Organics seedless Coronation grapes	3.99		Produce
PC® mini sweet peppers	5.99	681 g	Produce
extra large greenhouse red, orange or yellow sweet peppers	2.99 lb / 6.59/kg		Produce
Dole Chef en route salad kit	2/6 or 3 ea.	227 g	Produce
3 lb BAG Farmer’s Market™ carrots or cooking onions	2/4 or 2 ea.		Produce
organic green or red kale, rainbow chard or collard greens	2.99		Produce
raspberries	2/4 or 2 ea.	170 g	Produce
organic Gala apples or organic Bartlett pears	2.99 lb / 6.59/kg		Produce
PC® Organics white or cremini mushrooms	2/5 or 2.50 ea.	227 g	Produce
green or yellow zucchini	1.29 lb / 2.84/kg		Produce
2 lb BAG PC® Organics baby-cut carrots	4.49		Produce
PC® shiitake or oyster mushrooms	2.99	100 g	Produce
2 lb PC® Organics red, green or black seedless grapes	7.99		Produce
organic celery hearts	4.99		Produce
2 lb BAG PC® mandarins	5.99		Produce
PC® Organics bananas	99 ¢ lb / 2.18/kg		Produce
Romaine hearts	2.99		Produce
PC® Organics carrots	2/6 or 3 ea.		Produce
3 lb BAG Lil Snappers Bartlett pears	5.99		Produce
3lb BAG PC® Organics red or yellow potatoes	2/7 or 3.50 ea.		Produce
1 lb organic strawberries	6.99		Produce
2 lb BAG organic lemons	7.99		Produce
PC® whole baby king or sliced king oyster mushrooms	3.99	200 g	Produce
organic English cucumber,	3.49 each	225 g	Produce
