PC® ground lamb	7.99 lb / 17.61/kg		Meat
PC® boneless lamb leg	7.99 lb / 17.61/kg		Meat
grain fed veal loin or rib chops	9.99	lb	Meat
pork loin centre cut chops	5.99	lb	Meat
Plaisirs Gastronomiques pork in rib sauce	9.99	950 g	Meat
Plaisirs Gastronomiques cassoulet	16.99		Meat
beef tenderloin grilling steak	19.99	lb	Meat
whole beef tenderloin premium oven roast	10.99	lb	Meat
Lou’s Quick-N-Easy entrées	5.99	400 g	Meat
Plaisirs Gastronomiques duck legs confit	12.99	500 g	Meat
chicken breasts	2.99	lb	Meat
Johnsonville breakfast or dinner sausage, ground sausage meat or smoked sausage	2.99	500 g	Meat
PC® lamb shoulder chops	8.99 lb / 19.82/kg		Meat
pork side ribs	3.99 lb / 8.80/kg		Meat
medium ground beef	5.49	lb	Meat
PC® or Free From® naturally smoked bacon	3.44	500 g	Meat
PC® Frenched rack of lamb	14.99 lb / 33.05/kg		Meat
Schneiders Olde Fashioned ham, smoked turkey or summer sausage	from 2 /100 g		Meat
Plaisirs Gastronomiques duck breast magret	13.99	330 g	Meat
beef oxtail	7.99 lb / 17.61/kg		Meat
Marc Angelo smoked chicken sausage	4.99	375 g	Meat
PC® Blue Menu® turkey breast, scaloppine or fillets	8.99	lb	Meat
PC® Free From® chicken drumsticks or thighs	3.99 lb / 8.80/kg		Meat
Plaisirs Gastronomiques half duck confit	17.99		Meat
grain fed veal cutlets	10.99	lb	Meat
Butterball turkey franks	3.99	450 g	Meat
PC® lamb loin chops	11.99 lb / 26.43/kg		Meat
pomegranates	3.49 each		Produce
large white cauliflower	2.99 each		Produce
organic cantaloupe	4.99 each		Produce
Farmer’s Market™ mini cucumbers	2/5 or 2.50 ea.		Produce
raspberries	2/5 or 2.50 ea.	170 g	Produce
hothouse Boston lettuce	2/5 or 2.50 ea.		Produce
seedless watermelon quarters	0.99	lb	Produce
large bulk green kiwi	5/4 or 80¢ ea.		Produce
garlic	0.69		Produce
red, green or black seedless grapes	1.99 lb4.39/kg		Produce
PC® grape tomatoes	3.49	255 g	Produce
Divine, Envy, Eve or Jazz apples	2.49	lb	Produce
baking potatoes	2.79		Produce
extra large papaya	4.99 each		Produce
clementines	4.99		Produce
okra	2.99	lb	Produce
yellow onions	1.99		Produce
Dole Chef en route salad kit	4.49	227 g	Produce
large Honey Kiss melon	4.99 each		Produce
Romaine, green or red leaf lettuce	2/5 or 2.50 ea.		Produce
PC® Amaize® corn	5.99		Produce
extra large honeydew melons	4.99 each		Produce
beets	2.99 bunch		Produce
snow or snap peas	2.49	200 g	Produce
large whole seedless watermelon	4.99 each		Produce
greenhouse tomatoes on the vines	1.49 lb / 3.28/kg		Produce
yellow peaches or nectarines	3.49 lb /7.69/kg		Produce
mini watermelon	3.99 each		Produce
green kale	2/4 or 2 ea.		Produce
extra large cantaloupe	3.99 each		Produce
jumbo whole seeded watermelon	8.99 each		Produce
large canary melon	4.99 each		Produce
green onions	0.79 bunch		Produce
