extra lean ground beef	3.99 /lb 8.80/kg		Meat
Blue Goose organic whole chicken	4.99 /lb 11.00/kg		Meat
chicken drumsticks	5 ea.		Meat
PC® Free From® pork loin centre cut chops	5.99 /lb 13.21/kg		Meat
PC® Frenched rack of lamb	16.99 /lb 37.46/kg		Meat
pork classic roast	2.99 /lb 6.59/kg		Meat
pork back ribs	6.99 /lb 15.41/kg		Meat
PC® hickory smoked pork back ribs	7.99	700 g	Meat
PC® Free From® chicken breast	8.99 /lb 19.82/kg		Meat
chicken breast fillets	5 /lb 11.02/kg		Meat
striploin grilling steak	14.99 /lb 33.05/kg		Meat
fresh kebabs	3.99 each	200 g	Meat
PC® Flavour Burst™ blueberries	7.99	277 g	Produce
extra large pineapples	3.99 each		Produce
Pepper, Butternut, Spaghetti or Buttercup squash	1.99 /lb 4.39/kg		Produce
large broccoli	2/3 or 1.50 ea.		Produce
Driscoll's strawberries	5.99	2 lb	Produce
greenhouse Smuccies strawberries	2.99	227 g	Produce
PC® Organics bananas	99¢ /lb 2.18/kg		Produce
cooking with spinach greens	3.99	454 g	Produce
red grapefruit	1.79 each		Produce
Driscoll's raspberries	2/7 or 3.50 ea.	170 g	Produce
greenhouse red tomatoes on the vine	1.69 /lb 3.73/kg		Produce
Farmer's Market™ Navel oranges	4.99	3 lb	Produce
Romaine hearts	6.99		Produce
Driscoll's organic strawberries	5.99	1 lb	Produce
heirloom variety tomatoes	3.99 /Ib 8.80/kg		Produce
PC® gourmet beefsteak tomatoes	3.99		Produce
organic yellow onions	4.99	3 lb	Produce
mini cocktail cucumbers	3.49	1 lb	Produce
organic Fuji, Royal Gala or Granny Smith apples	3.99 /lb 8.80/kg		Produce
Fuji apples	1.99 /lb 4.39/kg		Produce
large ripe avocados	3/5 or 1.67 ea.		Produce
large red mangoes	2/5 or 2.50 ea.		Produce
PC® Little Gems™ mini potatoes	3.49	680 g	Produce
blueberries	2/5 or 2.50 ea.	125 g	Produce
gourmet medley tomatoes	5.99	5 lb	Produce
