PC® or Blue Menu® beef burgers	7.99	ea	Meat
PC® Free From® pork tenderloin	6.99	lb	Meat
PC® Free From® chicken thighs	6.99	lb	Meat
PC® Free From® split chicken wings	4.99	lb	Meat
PC® Free From® chicken drumsticks	3.99	lb	Meat
PC® Angus roast beef	3.79	ea	Meat
lean ground beef	3.99	lb	Meat
pork back ribs	5.99	lb	Meat
PC® lamb loin chops	11.99	lb	Meat
PC® Free From® or Blue Menu® breakfast or dinner pork sausage	4.99	ea	Meat
PC® Free From® chicken breasts	5.99	lb	Meat
PC® Free From® Angus beef burgers	12.99	ea	Meat
striploin grilling steak	12.99	lb	Meat
PC® or PC® Free From® naturally smoked bacon or Free From® bacon	5.49	ea	Meat
PC® Free From® chicken breasts	7.99	lb	Meat
pork loin centre-cut roasts or chops	3.49	lb	Meat
beets	2.99	ea	Produce
organic English cucumbers	2.99	ea	Produce
raspberries	1.67	ea	Produce
Farmer’s Market™ English cucumbers	3.99	ea	Produce
PC® Organics red, Russet or yellow potatoes	3.29	ea	Produce
large organic mangoes	3.49	ea	Produce
PC® Organics Romaine hearts	4.49	ea	Produce
organic sweet peppers	4.99	ea	Produce
organic limes	3.99	ea	Produce
organic apples	2.99	lb	Produce
organic raspberries	4.99	ea	Produce
Farmer’s Market™ lemons	3.99	ea	Produce
large red grapefruit	1.5	ea	Produce
PC® Organics baby spinach	5.99	ea	Produce
green kale	2.99	ea	Produce
PC® Organics beefsteak tomatoes	2.99	lb	Produce
juice oranges	5.99	ea	Produce
carrots	2.99	ea	Produce
organic blueberries	4.99	ea	Produce
organic Bartlett or Bosc pears	2.49	lb	Produce
PC® Organics bananas	0.99	lb	Produce
