cap-off prime rib grilling steak	12.99 /lb 28.64/kg		Meat
PC® Free From® pork side ribs	4.99 /lb 11.00/kg		Meat
PC® Frenched rack of lamb	16.99 /lb 37.46/kg		Meat
pork dinner sausage	3.99	500 g	Meat
PC® Free From® pork tenderloin	5.99 /lb 13.21/kg		Meat
gourmet smoked chicken sausage	4.99	375 g	Meat
SALE wild boar or elk steak	10.99	224 g	Meat
pork sausage burgers	3.99	500 g	Meat
eye of round oven roast or marinating steak	7.99 /lb 17.61/kg		Meat
Montreal style beef sirloin kabobs	8.99	320 g	Meat
souvlaki chicken breast kabobs	7.99	320 g	Meat
sweet chili lime chicken breast kabobs	7.99	320 g	Meat
Blue Goose organic chicken breasts	12.99 /lb 28.64/kg		Meat
hot pot stewing beef	11.99 /lb 26.43/kg		Meat
PC® Free From® whole chicken	2.49 /lb 5.49/kg		Meat
extra lean ground beef	3.99 /lb 8.80/kg		Meat
Dole salad kits	2/7 or 3.50 ea.	454 g	Produce
large broccoli	2.99 bunch		Produce
Smitten apples	2.49 /lb 5.49/kg		Produce
Navel oranges	1.69 /lb 3.73/kg		Produce
mini watermelon	2.99 each		Produce
Eve apples	2.49 /lb 5.49/kg		Produce
large green kiwi	4/3 or 75 ¢ ea.		Produce
Jazz apples	2.49 /lb 5.49/kg		Produce
Royal Gala apples	2.49 /lb 5.49/kg		Produce
Driscoll's blackberries	3.99 each	340 g	Produce
Ambrosia apples	2.49 /lb 5.49/kg		Produce
Divine apples	2.49 /lb 5.49/kg		Produce
PC® Little Gems™ mini potatoes	3.99	680 g	Produce
blueberries	4.99	510 g	Produce
Taylor Gold pears	2.99 /lb 6.59/kg		Produce
PC® Organics bananas	99¢ /lb 2.18/kg		Produce
3 lb BAG Farmer’s Market™ yellow onions	2.49		Produce
PC® baby king oyster or sliced king oyster mushrooms	4.99	200 g	Produce
hothouse Boston lettuce	2.49 each		Produce
greenhouse beefsteak tomatoes	1.69 /lb 3.73/kg		Produce
1 lb BAG PC® mini sweet peppers	5.99		Produce
English cucumbers	2/3 or 1.50 ea.		Produce
green asparagus	3.99 /lb 8.80/kg		Produce
dragon fruit	2/7 or 3.50 ea.		Produce
Asian brown pears	1.68 /lb 3.70/kg		Produce
bok choy	1.49 /lb 3.28/kg		Produce
Driscoll’s raspberries	2.99	340 g	Produce
