PC® Free From® or Blue Menu® breakfast or dinner sausage	4.99	500 g	Meat
PC® fully cooked bacon	4.99	85 g	Meat
chicken breast fillets	5 lb / 11.02/kg		Meat
strip loin grilling steak	8.99 lb / 19.82/kg		Meat
PC® Blue Menu® turkey breast, scaloppine or fillets	9.99 lb / 22.02/kg		Meat
Classic pork roast	2.99 lb / 6.59/kg		Meat
grain fed stewing veal boneless or osso bucco	8.99 lb / 19.82/kg		Meat
PC® or Free From® naturally smoked bacon	4.99	500 g	Meat
PC® Free From® pork side ribs	6.49 lb / 14.31/kg		Meat
chicken breasts	4.99 lb / 11.00/kg		Meat
chicken drumsticks	5 ea.		Meat
PC® naturally smoked flavoured bacon	5.99	500 g	Meat
Johnsonville sausage	3.99	375 g	Meat
PC® old fashion Style bacon	10.99		Meat
bottom sirloin tri tip roast	7.99 lb / 17.61/kg		Meat
lean ground beef & pork blend	4.99 lb / 11.00/kg		Meat
pork sirloin chops	4.99 lb / 11.00/kg		Meat
grape tomatoes	6.99	2 lb	Produce
Driscoll's blackberries	2/5 or 2.50 ea.	170 g	Produce
PC® Sable Seedless® black seedless grapes	4.99 lb / 11.00/kg		Produce
Farmer's Market™ baby-cut carrots	3.79	2 lb	Produce
PC® Organics grape tomatoes	4.99	255 g	Produce
clementines	6.99	4 lb	Produce
avocados	4.99		Produce
extra large greenhouse red, orange or yellow sweet peppers	1.99 lb / 4.39/kg		Produce
organic rainbow chard or beets	3.99		Produce
Royal Gala apples	2.49 lb / 5.49/kg		Produce
PC® Little Gems™ mini potatoes	3.49	680 g	Produce
organic red or black kale	3.99		Produce
large green kiwi	4.49	2 lb	Produce
strawberries	5.99	2 lb	Produce
extra large pineapples	4.99 each		Produce
Bartlett pears	2.49 lb / 5.49/kg		Produce
large white cauliflower	3.99 each		Produce
PKG OF 6 Romaine hearts	6.99		Produce
3 lb bag Farmer's Market™ yellow cooking onions	2.49		Produce
PC® whole cremini mushrooms	3.99	454 g	Produce
Farmer's Market™ English cucumbers	3		Produce
PC® Flavour Burst™ blueberries	7.99	277 g	Produce
PC® Pink Muscat seedless grapes	4.99 lb / 11.00/kg		Produce
Dole spring mix	5.99	312 g	Produce
extra large cantaloupes	2.99 each		Produce
red or green seedless grapes	3.99 lb / 8.80/kg		Produce
Red Globe grapes	3.49 lb / 7.69/kg		Produce
Farmer's Market™ Navel oranges	3.99	3 lb	Produce
