pork tenderloin or back ribs	2.99 /lb 6.59/kg		Meat
fresh in-store made burgers	4.99 /lb 11.00/kg		Meat
lean ground beef	3.49 /lb 7.69/kg		Meat
marinated chicken or beef tournedos	2.99	150 g	Meat
pork loin centre cut chops	5.49 /lb 12.10/kg		Meat
boneless beef rib grilling steak	14.99 /lb 33.05/kg		Meat
inside round oven roast	7.99 /lb 17.61/kg		Meat
lean ground veal	4.99 /lb 11.00/kg		Meat
chicken breasts	4.99 /lb 11.00/kg		Meat
PC® lamb loin chops	13.99 /lb 30,84/kg		Meat
PC® Free From® lean ground porkPC® Free From® lean ground pork	4.99 /lb 11.00/kg		Meat
From Our Chefs baconwrapped beef medallions	12	340 g	Meat
Marc Angelo chicken kabobs	7.99	320 g	Meat
Plaisirs Gastronomiques duck breast marget	12.99	330 g	Meat
organic chicken drumsticks	6.99 /lb 15.41/kg		Meat
organic chicken wings	6.99 /lb 15.41/kg		Meat
organic boneless, skinless thighs	9.99 /lb 22.02/kg		Meat
organic boneless, skinless breast	14.99 /lb 33.05/kg		Meat
organic ground chicken	9.99 /lb 22.02/kg		Meat
organic whole chicken	4.99 /lb 11.00/kg		Meat
Maple Leaf Bacon, Schneiders bacon or Ready Crisp or sausage rounds	4.99	375 g	Meat
9 piece Southern style breaded fried chicken	11.99	454 g	Meat
12 piece chicken tenders	9.99		Meat
large whole seedless watermelon	3.99	11 lb	Produce
Farmer's Market™ yellow onions	2/5 or 2.50 ea.	3 lb	Produce
Farmer's Market™ English cucumbers	3		Produce
PC® gourmet beefsteak tomatoes	5.99	3 lb	Produce
Farmer's Market™ sweet corn	3.99		Produce
large ripe avocados	3/5 or 1.67 ea.		Produce
PC® whole white or cremini mushrooms	3.99	454 g	Produce
Romaine hearts	4.69		Produce
green asparagus	1.99	lb	Produce
raspberries	3/5 or 1.67 ea.	170 g	Produce
PC® baby king oyster or sliced king oyster mushrooms	4.99	200 g	Produce
PC® broccoli florets, stir fry mix or vegetable medley	2/6 or 3 ea.	340 g	Produce
mini watermelon	3.49 each		Produce
baking potatoes	2.99		Produce
collard greens, green kale, dandelion, green or red Swiss chard	2.99 bunch		Produce
Vidalia onions	3.99	3 lb	Produce
Driscoll's blackberries	2.99 ea./lb	170 g	Produce
red grapefruit	1.79 each		Produce
Royal Gala	1.99 /lb 4.39/kg		Produce
Bartlett	1.99 /lb 4.39/kg		Produce
blueberries pint	3.99	340 g	Produce
extra large pineapples	4.99 each		Produce
large papaya	2.49 /lb 5.49/kg		Produce
Farmer's Market™ Navel oranges	4.99	3 lb	Produce
Ataulfo mangoes	4/5 or 1.25 ea.		Produce
large pomegranates	2.99 each		Produce
