Maple Leaf Country Kitchen ham	9.99	800 g	Meat
Maple Leaf Ready Crisp bacon or fully cooked breakfast sausage rounds or links	4.99	300 g	Meat
Schneiders Country Naturals sliced meats	4.99	175 g	Meat
pork loin centre cut chops	4.99 /lb 11.00/kg		Meat
top sirloin grilling steak cap-off	12.99 /lb 28.64/kg		Meat
pork tenderloin	5.49 /lb 12.10/kg		Meat
sirloin tip oven roast	3.99 /lb 8.80/kg		Meat
PC® Free From® whole chicken	2.49 /lb 5.49/kg	50 lb	Meat
Quick-n-easy entrées	5.99	400 g	Meat
PC® boneless lamb leg	7.99 /lb 17.61/kg		Meat
wild boar or elk steak	10.99	224 g	Meat
From Our Chefs harissa spiced or applewood salmon	9	228 g	Meat
Johnsonville breakfast or dinner sausage or ground sausage meat	3.99	500 g	Meat
Maple Leaf Top Dogs	3.99	450 g	Meat
Schneiders Juicy Jumbos, chicken sausages, or Grill'ems	4.99	450 g	Meat
Maple Leaf bacon, Ready Crisp or sausage rounds	4.99	375 g	Meat
PC® Certified Angus beef extra lean ground sirloin	6.99 /lb 15.41/kg		Meat
From Our Chefs bacon wrapped beef medallions	12	340 g	Meat
Schneiders Lunch Mate Stackers or kits	3/6 or 2.29 ea.	132 g	Meat
Schneiders ham steaks	2.99	175 g	Meat
split chicken wings	3.99 /Ib 8.80/kg		Meat
chicken breasts	4.99 /Ib 11.00/kg		Meat
marinated chicken or beef tournedos	2.99	150 g	Meat
PC® Blue Menu® turkey breast, scaloppine or fillets	9.99 /lb 22.02/kg		Meat
T-bone grilling steak	14.99 /Ib 33.05/kg		Meat
From Our Chefs stuffed chicken breast with seasoned quinoa	8	350 g	Meat
PC® Tomatoes of Yore™	2.99		Produce
mini watermelon	4.99 each		Produce
large ripe avocados	99¢ ea		Produce
jumbo cantaloupe	2.99 each		Produce
extra large Honeydew melon	5.99 each		Produce
Fuji or Granny Smith apples	1.99 /lb 4.39/kg		Produce
grape tomatoes	6.99	2 lb	Produce
PC® Organics grape tomatoes	4.99	255 g	Produce
Farmer's Market™ carrots	2.99	3 lb	Produce
Canary melon	5.99 each		Produce
Farmer's Market™ lemons	4.99	2 lb	Produce
Bartlett pears	2.29 /lb 5.05/kg		Produce
extra large greenhouse red, orange or yellow sweet peppers	2.99 /lb 6.59/kg		Produce
Navel oranges	99¢ /lb 2.18/kg		Produce
greenhouse beefsteak tomatoes	1.69 /Ib 3.73/kg		Produce
large Santa Claus melon	5.99 each		Produce
Farmer's Market™ mini cucumbers	3		Produce
Farmer's Market™ English cucumbers	3		Produce
organic peppers	4.99		Produce
organic English cucumber	3.49 each		Produce
Romaine, red or green leaf lettuce	2.49 each		Produce
Farmer’s Market™ red, yellow or Russet potatoes	2/4 or 2 ea	10 lb	Produce
seedless watermelon quarters	1.29 /lb 2.84/kg		Produce
seedless watermelon single slices	1.49 /lb 3.28/kg		Produce
Roma tomatoes	4.99	3 lb	Produce
large broccoli	2.99 bunch		Produce
avocados	4.99		Produce
PC® Organics baby spinach or field greens	6.99	312 g	Produce
large whole seedless watermelon	7.99 each	11 lb	Produce
