striploin grilling steak medallions	18.99	lb	Meat
Blue Goose organic split chicken wings	5.99	lb	Meat
Maple Leaf Prime chicken breasts	6.99	lb	Meat
pork loin centre cut fast fry chop	3.99	lb	Meat
Try our award winning (ITQI 2 Star) Mild Italian Pork sausage.	5.99 lb / 13.21/kg		Meat
pork tenderloin	4.99 lb / 11.00/kg		Meat
pork loin centre-cut chops or roasts	2.99 ea./lb / 6.59/kg	200 g	Meat
12 piece chicken tenders	8.99		Meat
T-bone grilling steak	16.99	lb	Meat
cured pork loin	2.49 lb / 5.49/kg		Meat
Maple Leaf Prime fully cooked chicken or turkey strips	7.99	300 g	Meat
From Our Chefs stuffed chicken	10	450 g	Meat
top sirloin grilling steak cap-off	13.99	lb	Meat
striploin grilling steak	17.99	lb	Meat
lean ground beef	3.99 lb / 8.80/kg		Meat
ZiggyâsÂŽ turkey or beef deli sliced	1.89 /100 g		Meat
boneless beef rib grilling steak	16.99	lb	Meat
large ripe avocados	3/5 or 1.67 ea.		Produce
greenhouse beefsteak tomatoes	1.49 lb / 3.28/kg		Produce
onions	2/4 3lb BAG / or 2 ea.		Produce
Farmer’s Market™ yellow plums	4.99 1.5 L		Produce
organic nectarines	4.99 lb / 11.00/kg		Produce
organic strawberries	4.99 1lb		Produce
organic kiwi	3.99 1lb		Produce
PC® Organics mini carrot	2.49 1lb BAG		Produce
Romaine, red or green leaf lettuce	2/3 or 1.50 ea.		Produce
cilantro	99 ¢		Produce
PC® Organics Romaine hearts	4.99		Produce
organic red seedless grapes	8.99 2lb		Produce
large organic broccoli	3.49 each		Produce
Farmer’s Market™ mini cucumbers	2/5 or 2.50 ea.		Produce
red, sweet or no sugar added pail cherries	26.99		Produce
PC® Organics blueberries	2/5 or 2.50 ea.	277 g	Produce
PC® Organics white or cremini mushrooms	2.99	227 g	Produce
extra large greenhouse red, orange or yellow sweet peppers	2.99 lb / 6.59/kg		Produce
green cabbage	59 ¢ lb / 1.30/kg		Produce
green or yellow zucchini	1.29 lb / 2.84/kg		Produce
PC® Organics carrots	2.99 2lb BAG		Produce
green beans	2.99 lb / 6.59/kg		Produce
mini watermelon	3.99 ea.		Produce
