PC® Free From® split chicken wings	4.99 lb / 11.00/kg		Meat
cured boneless pork loin	2.99 lb / 6.59/kg	49 lb	Meat
PC® Free From® striploin grilling steak	24.99 lb / 55.09/kg		Meat
PC® Free From® pork loin rib chop	5.99 lb / 13.21/kg		Meat
PC® Free From® whole chicken	3.49 lb / 7.69/kg		Meat
eye of round oven roast or marinating steak	7.99 lb / 17.61/kg		Meat
extra lean ground beef	3.99 lb / 8.80/kg		Meat
PC® boneless lamb leg	7.99 lb / 17.61/kg		Meat
chicken breast fillets	5 lb / 11.02/kg		Meat
chicken drumsticks	5 ea.		Meat
pork tenderloin	2.88 lb / 6.35/kg		Meat
stuffed chicken breast	3.99	200 g	Meat
BAG OF 5 avocado	4.99		Produce
PC® whole white mushrooms	3.99	454 g	Produce
grape tomatoes	6.99	2 lb	Produce
greenhouse extra large red, yellow or orange sweet peppers	3.49 lb / 8.80/kg		Produce
blueberries	5.99	510 g	Produce
2 lb bag PC® Orri mandarins	5.99		Produce
for every $1 spent on bananas			Produce
Farmer’s Market™ English cucumbers	4.99	3 lb	Produce
ORGANIC organic sweet peppers	5.99		Produce
2 lb BAG green kiwi	4.99		Produce
red or green seedless grapes	2.49 lb / 5.49/kg		Produce
Navel oranges	1.79 lb / 3.95/kg		Produce
CASE 4 lb clementines	6.99		Produce
sweet potatoes	1.79 lb / 3.95/kg		Produce
stem and leaf clementines	3.99 lb / 8.80/kg		Produce
PC® Melorange®	3.49 each		Produce
red grapefruit	1.79 each		Produce
jumbo Mag cantaloupe	3.99 each		Produce
3 lb BAG PC® Cara Cara oranges	6.99		Produce
Driscoll’s raspberries	3.99	170 g	Produce
Farmer’s Market™ mini cucumbers	3.99		Produce
4 lb bag Farmer’s Market™ McIntosh, Spartan or Cortland apples	4.99		Produce
asparagus	3.99 lb / 8.80/kg		Produce
2 lb BAG PC® Moro blood oranges	6.99		Produce
large broccoli	2.50		Produce
