PC® Free From® whole chicken	lb / 7.69/kg		Meat
grain fed stewing veal boneless or osso bucco	8.99 lb / 19.82/kg		Meat
PC® Free From® chicken drumsticks or thighs	3.99 lb / 8.80/kg		Meat
From Our Chefs stuffed chicken	10	450 g	Meat
PC® Blue Menu® turkey breast, scaloppine or fillets	9.99 lb / 22.02/kg		Meat
PC® Free From® pork loin centre-cut chops	6.99 lb / 15.41/kg		Meat
sirloin tip oven roast	7.99 lb / 17.61/kg		Meat
striploin grilling steak	6.88 lb / 15.17/kg	25 lb	Meat
PC® Frenched rack of lamb	16.99 lb / 37.46/kg		Meat
grain fed veal cutlets	10.99 lb / 24.23/kg		Meat
chicken breasts	2.99 lb / 6.59/kg		Meat
Platinum extra lean ground sirloin	5.99	454 g	Meat
PC® Free From® pork tenderloin	7.99 lb / 17.61/kg		Meat
boneless beef rib finger meat	4.99 lb / 11.00/kg		Meat
PC® Lady Alice apples	2.99 lb / 6.59/kg		Produce
Meyer lemons	3.99		Produce
dragonfruit	2.99 each		Produce
Fuji apples	2.48 lb / 5.47/kg		Produce
T&T® dried shiitake mushrooms	10.98	454 g	Produce
PC® Sable Seedless® black seedless grapes	3.99 lb / 8.80/kg		Produce
green kale or collard greens	2/5 or 2.50 ea.		Produce
PC® baby king oyster or sliced king oyster mushrooms	4.99	200 g	Produce
PC® Cara Cara	6.99	3 lb	Produce
red grapefruit	1.79 each		Produce
PC® Melorange®	3.49 each		Produce
Driscoll's raspberries	2/5 or 2.50 ea.	170 g	Produce
PC® Ambrosia apples	2.49 lb / 5.49/kg		Produce
white pummelo	2.48 each		Produce
PC® Organics sweet potatoes	7.99	3 lb	Produce
clementines	6.99	4 lb	Produce
Farmer's Market™ Russet, red or yellow potatoes	1.88	10 lb	Produce
vanilla persimmons	4/5 or 1.25 ea.		Produce
Navel oranges	1.79 lb / 3.95/kg		Produce
PC® Organics field greens or baby spinach	5.99	312 g	Produce
PC® Organics carrots	3.49		Produce
MINNEOLA TANGELOS	1.99 lb / 4.39/kg		Produce
