chicken drumsticks	5.0	lb	Meat
PC® Free From® or Blue Menu® pork dinner sausage	5.49	ea	Meat
PC® or Blue Menu® Smokies™	8.99	ea	Meat
PC® free from® whole chicken	3.99	lb	Meat
boneless beef rib grilling steak	14.99	lb	Meat
lean ground veal	5.99	lb	Meat
Halal lean ground beef	5.99	lb	Meat
lean ground beef	3.99	lb	Meat
PC® boneless lamb leg or ground lamb	7.99	lb	Meat
cap-off prime rib grilling steak	12.99	lb	Meat
top sirloin grilling steak beefeater	11.99	lb	Meat
Maple Leaf Prime fully cooked chicken or turkey strips	6.99	ea	Meat
boneless blade pot roast	6.99	lb	Meat
pork loin centre cut chops or roasts	5.99	lb	Meat
chicken breasts	3.99	lb	Meat
PC® naturally smoked flavoured bacon or naturally smoked bacon rounds	5.99	ea	Meat
wild boar or elk steak	10.49	ea	Meat
eye of round oven roast or marinating steak	7.99	lb	Meat
King Cole boneless duck breast	12.99	lb	Meat
T-bone grilling steak	12.99	lb	Meat
From Our Chefs beef sirloin steak tips	15.0	ea	Meat
Maple Leaf Top Dogs or wieners	3.99	ea	Meat
pork side ribs	4.99	lb	Meat
Palmer mangos	3.99	ea	Produce
organic raspberries	4.99	ea	Produce
red seedless grapes	1.49	lb	Produce
large Ataulfo mangos	1.25	ea	Produce
okra	2.99	lb	Produce
garlic	0.69	ea	Produce
white potatoes	5.99	ea	Produce
greenhouse extra large red, orange or yellow sweet peppers	2.99	lb	Produce
large organic mangos	2.99	ea	Produce
long eggplant	1.99	lb	Produce
red onions	2.99	ea	Produce
Madame Francis mangos	2.99	ea	Produce
Indian mangos	3.99	ea	Produce
large white cauliflower or Romaine hearts	3.99	ea	Produce
extra large ripe mangos	2.5	ea	Produce
jumbo whole seeded watermelon	8.99	ea	Produce
Driscoll's raspberries	3.0	ea	Produce
grape tomatoes	4.99	ea	Produce
