striploin grilling steak	9.99	lb	Meat
pork side ribs St Louis Style	3.49	lb	Meat
PC® free from® whole chicken	2.49	lb	Meat
PC® free from® striploin grilling steak	19.99	lb	Meat
PC® fully cooked bacon	4.49	ea	Meat
Maple Leaf Prime chicken breasts	6.99	lb	Meat
fresh in-store made burgers	5.99	lb	Meat
PC® free from® pork loin chops	5.99	lb	Meat
Lou’s peameal bacon or double smoked back bacon	5.99	ea	Meat
medium ground beef	5.49	lb	Meat
PC® free from® chicken breast	5.99	lb	Meat
grain fed veal loin chops, rib chops or osso buco	9.99	lb	Meat
PC® Frenched rack of lamb	13.99	lb	Meat
Maple Leaf Top Dogs wieners	3.0	lb	Meat
pork tenderloin	4.99	lb	Meat
Driscoll’s blackberries	3.0	ea	Produce
red seedless grapes	3.49	lb	Produce
PC® Organics carrots	2.79	ea	Produce
greenhouse beefsteak tomatoes	1.69	lb	Produce
heirloom variety tomatoes	2.99	lb	Produce
PC® Orri Mandarin oranges	4.99	ea	Produce
tri-colour tomatoes on the vine	3.99	ea	Produce
Farmer’s Market™ English cucumbers	2.99	ea	Produce
large Navel orange	1.79	lb	Produce
large broccoli	2.5	ea	Produce
PC® mini sweet peppers	6.99	ea	Produce
green seedless grapes	3.49	lb	Produce
organic red seedless grapes	6.99	lb	Produce
green kale	2.99	ea	Produce
PC® Little Gems™ mini potatoes	3.29	ea	Produce
PC® Pink Muscat grapes	3.99	lb	Produce
Dole Chop Chop salad kits	4.49	ea	Produce
extra large greenhouse red, orange or yellow sweet peppers	2.99	lb	Produce
PC® grape or cherry tomatoes	3.0	ea	Produce
organic peppers	3.99	ea	Produce
blueberries	2.5	ea	Produce
jumbo Mag melon	3.99	ea	Produce
PC® Organics grape tomatoes	3.99	ea	Produce
