pork side ribs	2.49 lb / 5.49/kg		Meat
pork belly portions or pieces	4.99 lb / 11.00/kg		Meat
stuffed chicken breast	3.99	200 g	Meat
boneless beef rib grilling steak	16.99 lb / 37.46/kg		Meat
chicken breasts	5.99 lb / 13.21/kg		Meat
PC® Free From® pork tenderloin	7.99 lb / 17.61/kg		Meat
whole pork shoulder	1.49 lb / 3.28/kg		Meat
sirloin tip oven roast	3.99 lb / 8.80/kg		Meat
Blue Goose Organic whole chicken	4.49 lb / 9.90/kg		Meat
extra lean ground beef	5.49 lb / 12.10/kg		Meat
pork shoulder picnic roast	1.49 lb / 3.28/kg		Meat
chicken legs	1.99 lb / 4.39/kg		Meat
whole pork leg	1.49 lb / 3.28/kg		Meat
Blue Goose Organic chicken breasts	12.99 lb / 28.64/kg		Meat
PC® Free From® or Blue Menu® breakfast or dinner sausage	4.77	500 g	Meat
grain fed veal cutlets	10.99 lb / 24.23/kg		Meat
large organic white cauliflower	6.99 each		Produce
white pummelos	2.88 lb / each		Produce
vanilla persimmons	3/5 or 1.67 ea.		Produce
2 lb BAG organic lemons	5.99		Produce
PC® Organics white or cremini whole mushrooms	2/5 or 2.50 ea.	227 g	Produce
Driscoll’s organic raspberries	6.99	170 g	Produce
3 lb BAG PC® Organics Granny Smith, Fuji, Pink Lady or Gala apples	8.99		Produce
green zucchini or eggplant	1.99 lb / 4.39/kg		Produce
PC® Organics fresh herbs	2.49	20 g	Produce
PC® Lady Alice apples	2.99 lb / 6.59/kg		Produce
Farmer's Market™ mini cucumbers	3.99		Produce
green kale	2/5 or 2.50 ea.		Produce
3 lb BAG PC® Organics Red Delicious apples	7.99		Produce
3 lb BAG PC® Organics sweet potatoes	6.99		Produce
large white cauliflower	6.99 each		Produce
PC® Organics grape tomatoes	4.99	255 g	Produce
red globe grapes	3.49 lb / 7.69/kg		Produce
Driscoll's strawberries	2/5 or 2.50 ea.	1 lb	Produce
green onions or radishes	99 ¢		Produce
organic blueberries	4.99	125 g	Produce
large green kiwi	5/3 or 60¢ ea.		Produce
rapini	3.49		Produce
3 lb bag Farmer’s Market™ Navel oranges	4.99		Produce
large red grapefruit	1.79 each		Produce
large cherries	5.99 lb / 13.21/kg		Produce
mini watermelons	4.99 each		Produce
PC® Organics avocados	5.99		Produce
green peppers	1.99 lb / 4.39/kg		Produce
blueberries	4.77	340 g	Produce
organic celery hearts	3.99		Produce
Napa or Bok Choy	1.49 lb / 3.28/kg		Produce
fennel	3.99 each		Produce
pepper, butternut, buttercup or spaghetti squash	1.99 lb / 4.39/kg		Produce
stem and leaf clementines	2.99 lb / 6.59/kg		Produce
large ripe mangoes	2/4 or 2 ea.		Produce
10 LB Farmer’s Market™ Russet, red or yellow potatoes	1.88		Produce
Eat Smart salad kit	4.99	340 g	Produce
