PC® Blue Menu® turkey breast, scaloppine or fillets	9.99 lb / 22.02/kg		Meat
Blue Goose organic whole chicken	4.99 lb / 11.00/kg		Meat
lean ground beef & pork blend	4.99 lb / 11.00/kg		Meat
pork loin centre cut roast or chops	5.99 lb / 13.21/kg		Meat
top sirloin premium oven roast	8.99 lb / 19.82/kg		Meat
classic pork roast	2.99 lb / 6.59/kg		Meat
chicken breasts	2.99 lb / 6.59/kg		Meat
striploin grilling steak	6.88 lb / 15.17/kg		Meat
sweet potatoes	1.99 lb / 4.39/kg		Produce
Plantain, Manzano, Red or Mini bananas			Produce
eggplant or green zucchini	2.49 lb / 5.49/kg		Produce
Roma tomatoes	1.79 lb / 3.95/kg		Produce
PC® large ripe Kent mango	1.99 each		Produce
large organic broccoli	2.99		Produce
2 lb strawberries	6.99		Produce
Piñata apples	2.99 lb / 6.59/kg		Produce
2 lb bag PC® Organics baby-cut carrots	4.99		Produce
large green kiwi	5/3 or 60¢ ea.		Produce
guava	3.99	681 g	Produce
Eat Smart salad kit	4.99	340 g	Produce
large ripe avocados	3/5 or 1.67 ea.		Produce
large papaya	2.49 lb / 5.49/kg		Produce
Bosc pears	2.49 lb / 5.49/kg		Produce
cherimoya	3.99 each		Produce
Farmer's Market™ red, yellow or Russet potatoes	2/4 or 2 ea.	10 lb	Produce
dragonfruit	2/7 or 3.50 ea.		Produce
yellow peaches or nectarines	2.99 lb / 6.59/kg		Produce
organic English cucumbers	3.49 each		Produce
asparagus	3.99 lb / 8.80/kg		Produce
Farmer’s Market™ mini cucumbers	4.49		Produce
coconuts	1.99 each		Produce
starfruit	2/5 or 2.50 ea.		Produce
extra large greenhouse red, yellow or orange sweet peppers	2.49 lb / 5.49/kg		Produce
purple passion fruit	3/5 or 1.67 ea.		Produce
3 lb bag PC® Organics Russet, red or yellow potatoes	3.99		Produce
red or mini bananas	1.79 lb / 3.95/kg		Produce
2 lb bag PC® Orri mandarins	5.99		Produce
jumbo Mag cantaloupe	3.99 each		Produce
Romaine hearts	4.99		Produce
PC® Organics bananas	1.09 lb / 2.40/kg		Produce
